Fecha;Risk_Free;;;
31/03/2022;9.3916;;;
30/03/2022;9.389;;;
29/03/2022;9.3439;;;
28/03/2022;9.8176;;;
25/03/2022;9.6858;;;
24/03/2022;9.5826;;;
23/03/2022;9.4857;;;
22/03/2022;9.3379;;;
21/03/2022;9.2915;;;
18/03/2022;9.29;;;
17/03/2022;9.3169;;;
16/03/2022;9.3625;;;
15/03/2022;9.3776;;;
14/03/2022;9.3922;;;
11/03/2022;9.3385;;;
10/03/2022;9.3365;;;
9/03/2022;9.331;;;
8/03/2022;9.4052;;;
7/03/2022;9.1229;;;
4/03/2022;9.0674;;;
3/03/2022;8.962;;;
2/03/2022;9.0522;;;
1/03/2022;9.0449;;;
28/02/2022;9.2028;;;
25/02/2022;9.0945;;;
24/02/2022;8.946;;;
23/02/2022;8.8531;;;
22/02/2022;8.7836;;;
21/02/2022;8.7367;;;
18/02/2022;8.7226;;;
17/02/2022;8.7253;;;
16/02/2022;8.7239;;;
15/02/2022;8.776;;;
14/02/2022;8.802;;;
11/02/2022;8.7698;;;
10/02/2022;8.8288;;;
9/02/2022;8.7543;;;
8/02/2022;8.6622;;;
7/02/2022;8.5589;;;
4/02/2022;8.543;;;
3/02/2022;8.6447;;;
2/02/2022;8.6234;;;
1/02/2022;8.5615;;;
31/01/2022;8.7917;;;
28/01/2022;8.8424;;;
27/01/2022;8.853;;;
26/01/2022;8.7865;;;
25/01/2022;8.8404;;;
24/01/2022;8.8894;;;
21/01/2022;8.7819;;;
20/01/2022;8.7827;;;
19/01/2022;9.0087;;;
18/01/2022;9.0532;;;
17/01/2022;8.9;;;
14/01/2022;8.7143;;;
13/01/2022;8.7366;;;
12/01/2022;8.7536;;;
11/01/2022;8.6847;;;
10/01/2022;8.6185;;;
7/01/2022;8.6183;;;
6/01/2022;8.4577;;;
5/01/2022;8.1229;;;
4/01/2022;8.2503;;;
3/01/2022;8.0871;;;
31/12/2021;7.9987;;;
30/12/2021;8.0016;;;
29/12/2021;8.0476;;;
28/12/2021;8.0042;;;
27/12/2021;7.9657;;;
24/12/2021;7.9902;;;
23/12/2021;8.0007;;;
22/12/2021;7.8872;;;
21/12/2021;7.8893;;;
20/12/2021;7.8318;;;
17/12/2021;7.8393;;;
16/12/2021;7.9473;;;
15/12/2021;8.0955;;;
14/12/2021;8.1057;;;
13/12/2021;7.9905;;;
10/12/2021;7.9093;;;
9/12/2021;8.0075;;;
8/12/2021;8.006;;;
7/12/2021;8.0068;;;
6/12/2021;8.1266;;;
3/12/2021;8.0719;;;
2/12/2021;8.132;;;
1/12/2021;8.2481;;;
30/11/2021;8.3622;;;
29/11/2021;8.4363;;;
26/11/2021;8.3849;;;
25/11/2021;8.3696;;;
24/11/2021;8.4124;;;
23/11/2021;8.2829;;;
22/11/2021;8.0772;;;
19/11/2021;7.9907;;;
18/11/2021;8.0034;;;
17/11/2021;8.0533;;;
16/11/2021;8.0202;;;
15/11/2021;7.9509;;;
12/11/2021;7.9509;;;
